player_id,install_date,country,platform,age_group,acq_source,is_payer,stumble_pass,lifetime_gems
P00000,2024-03-22,ID,android,25-34,influencer,False,False,40565
P00001,2024-01-15,FR,android,35-44,organic,False,False,19283
P00002,2024-01-04,MX,ios,25-34,cross_promo,False,False,934
P00003,2024-02-05,DE,android,13-17,influencer,False,False,34754
P00004,2024-02-01,US,android,13-17,organic,False,False,21380
P00005,2024-01-29,US,android,18-24,app_store_search,False,False,14016
P00006,2024-01-18,US,android,18-24,paid_social,False,True,38233
P00007,2024-01-14,TR,android,18-24,organic,False,False,22695
P00008,2024-03-27,DE,android,25-34,influencer,False,False,24952
P00009,2024-03-10,GB,android,13-17,organic,True,False,42734
P00010,2024-01-12,US,android,13-17,cross_promo,False,False,15721
P00011,2024-03-16,FR,android,18-24,cross_promo,False,False,1505
P00012,2024-02-24,PH,ios,25-34,app_store_search,False,False,5363
P00013,2024-01-05,US,android,18-24,paid_social,False,False,48708
P00014,2024-01-04,US,android,25-34,paid_social,False,False,43614
P00015,2024-01-12,US,android,18-24,influencer,False,True,1010
P00016,2024-01-28,BR,android,35-44,organic,False,True,47692
P00017,2024-01-30,IN,ios,35-44,paid_social,False,False,46250
P00018,2024-03-05,ID,android,18-24,paid_social,False,True,19861
P00019,2024-03-18,BR,android,18-24,organic,False,False,24125
P00020,2024-01-04,DE,ios,18-24,paid_social,False,False,9369
P00021,2024-03-12,US,android,18-24,cross_promo,False,True,3857
P00022,2024-01-26,BR,ios,25-34,cross_promo,False,False,26671
P00023,2024-03-24,BR,android,35-44,organic,False,True,9864
P00024,2024-03-30,ID,android,25-34,organic,False,False,32490
P00025,2024-03-10,MX,android,35-44,organic,False,False,10120
P00026,2024-02-23,US,android,18-24,cross_promo,False,False,20223
P00027,2024-01-29,IN,ios,13-17,organic,False,False,32150
P00028,2024-02-27,DE,android,25-34,influencer,False,False,44138
P00029,2024-03-16,US,android,18-24,organic,False,False,2553
P00030,2024-02-05,DE,android,25-34,influencer,False,True,15489
P00031,2024-01-01,US,android,18-24,paid_social,False,False,4389
P00032,2024-01-21,US,android,13-17,cross_promo,False,False,49703
P00033,2024-03-30,FR,ios,45+,organic,False,False,21950
P00034,2024-02-24,FR,android,13-17,influencer,False,False,11089
P00035,2024-02-13,PH,android,45+,organic,False,False,41999
P00036,2024-02-05,BR,android,45+,influencer,False,False,3051
P00037,2024-01-20,US,android,25-34,cross_promo,False,False,38090
P00038,2024-01-28,GB,android,25-34,organic,False,False,28805
P00039,2024-02-13,ID,android,25-34,cross_promo,False,True,29442
P00040,2024-01-14,US,ios,35-44,influencer,False,False,44557
P00041,2024-01-12,IN,android,18-24,organic,False,False,2555
P00042,2024-02-18,US,android,18-24,paid_social,True,False,12767
P00043,2024-01-13,TR,android,25-34,organic,False,False,458
P00044,2024-02-15,BR,ios,18-24,influencer,False,False,48469
P00045,2024-02-14,GB,android,18-24,influencer,False,False,16066
P00046,2024-03-18,BR,android,18-24,organic,False,False,4721
P00047,2024-02-03,IN,android,25-34,paid_social,True,True,12446
P00048,2024-01-06,IN,android,35-44,cross_promo,False,False,6304
P00049,2024-02-28,US,android,18-24,app_store_search,False,False,46333
P00050,2024-03-09,FR,android,45+,paid_social,False,False,42967
P00051,2024-01-16,MX,android,25-34,app_store_search,False,False,34688
P00052,2024-02-18,FR,android,35-44,paid_social,False,False,13227
P00053,2024-01-11,TR,ios,25-34,paid_social,False,False,40462
