session_id,player_id,session_date,platform,country,duration_sec,rounds_played,rounds_won
S0000000,P00000,2024-03-22,android,ID,1183,8,0
S0000001,P00000,2024-03-22,android,ID,1546,2,1
S0000002,P00001,2024-01-15,android,FR,740,4,1
S0000003,P00001,2024-01-15,android,FR,1905,5,3
S0000004,P00001,2024-01-16,android,FR,3821,7,1
S0000005,P00001,2024-01-17,android,FR,1961,6,0
S0000006,P00001,2024-01-19,android,FR,4558,1,1
S0000007,P00001,2024-01-19,android,FR,4025,8,0
S0000008,P00001,2024-01-19,android,FR,2883,7,2
S0000009,P00001,2024-01-20,android,FR,1890,2,1
S0000010,P00001,2024-01-21,android,FR,1832,2,2
S0000011,P00001,2024-01-21,android,FR,2859,6,1
S0000012,P00001,2024-01-22,android,FR,1429,3,3
S0000013,P00001,2024-01-22,android,FR,584,8,1
S0000014,P00001,2024-01-24,android,FR,2428,8,0
S0000015,P00001,2024-01-24,android,FR,917,5,1
S0000016,P00001,2024-01-24,android,FR,1015,1,0
S0000017,P00001,2024-01-26,android,FR,1808,7,3
S0000018,P00001,2024-01-27,android,FR,1707,4,2
S0000019,P00001,2024-01-27,android,FR,774,6,0
S0000020,P00001,2024-01-27,android,FR,1996,6,2
S0000021,P00001,2024-01-28,android,FR,3228,7,3
S0000022,P00001,2024-01-30,android,FR,918,8,3
S0000023,P00001,2024-01-30,android,FR,3879,6,2
S0000024,P00001,2024-01-30,android,FR,709,2,2
S0000025,P00001,2024-01-30,android,FR,5400,7,0
S0000026,P00001,2024-01-30,android,FR,1412,7,1
S0000027,P00001,2024-02-01,android,FR,1973,5,2
S0000028,P00001,2024-02-04,android,FR,581,8,0
S0000029,P00001,2024-02-04,android,FR,1741,6,3
S0000030,P00001,2024-02-05,android,FR,2073,1,0
S0000031,P00001,2024-02-05,android,FR,1716,7,2
S0000032,P00001,2024-02-05,android,FR,1289,3,0
S0000033,P00001,2024-02-05,android,FR,1024,3,3
S0000034,P00001,2024-02-05,android,FR,3562,1,0
S0000035,P00001,2024-02-06,android,FR,1841,6,2
S0000036,P00001,2024-02-06,android,FR,4557,7,0
S0000037,P00001,2024-02-06,android,FR,1318,3,3
S0000038,P00001,2024-02-15,android,FR,1392,8,3
S0000039,P00001,2024-02-15,android,FR,2949,2,1
S0000040,P00001,2024-02-15,android,FR,682,5,3
S0000041,P00001,2024-02-21,android,FR,872,3,3
S0000042,P00002,2024-01-04,ios,MX,3492,3,3
S0000043,P00002,2024-01-05,ios,MX,895,2,2
S0000044,P00002,2024-01-05,ios,MX,607,3,2
S0000045,P00002,2024-01-05,ios,MX,5400,3,1
S0000046,P00002,2024-01-05,ios,MX,783,6,1
S0000047,P00002,2024-01-06,ios,MX,2019,5,0
S0000048,P00002,2024-01-06,ios,MX,1884,5,1
S0000049,P00002,2024-01-06,ios,MX,334,5,1
S0000050,P00002,2024-01-06,ios,MX,1540,5,0
S0000051,P00002,2024-01-07,ios,MX,2366,3,1
S0000052,P00002,2024-01-08,ios,MX,2236,6,0
S0000053,P00002,2024-01-08,ios,MX,3109,1,0
S0000054,P00002,2024-01-08,ios,MX,1432,1,1
S0000055,P00002,2024-01-09,ios,MX,2772,7,0
S0000056,P00002,2024-01-09,ios,MX,1195,8,2
S0000057,P00002,2024-01-09,ios,MX,775,5,3
S0000058,P00002,2024-01-10,ios,MX,829,7,2
S0000059,P00002,2024-01-10,ios,MX,751,8,0
S0000060,P00002,2024-01-10,ios,MX,3313,1,0
S0000061,P00002,2024-01-11,ios,MX,728,4,2
S0000062,P00002,2024-01-11,ios,MX,2131,3,2
S0000063,P00002,2024-01-13,ios,MX,1541,6,3
S0000064,P00002,2024-01-13,ios,MX,1700,3,2
S0000065,P00002,2024-01-13,ios,MX,4097,2,1
S0000066,P00002,2024-01-13,ios,MX,1389,4,3
S0000067,P00002,2024-01-13,ios,MX,2609,2,1
S0000068,P00002,2024-01-14,ios,MX,1849,1,1
S0000069,P00002,2024-01-17,ios,MX,1650,3,2
S0000070,P00002,2024-01-17,ios,MX,5400,6,1
S0000071,P00002,2024-01-17,ios,MX,761,3,3
S0000072,P00002,2024-01-17,ios,MX,3918,8,3
S0000073,P00002,2024-01-17,ios,MX,2680,5,3
S0000074,P00002,2024-01-18,ios,MX,1355,8,1
S0000075,P00002,2024-01-18,ios,MX,4805,4,2
S0000076,P00002,2024-01-18,ios,MX,596,1,0
S0000077,P00002,2024-01-18,ios,MX,1322,5,3
S0000078,P00002,2024-01-22,ios,MX,875,2,1
S0000079,P00002,2024-01-23,ios,MX,2315,6,3
S0000080,P00002,2024-01-27,ios,MX,927,2,1
S0000081,P00002,2024-01-27,ios,MX,2344,8,2
S0000082,P00002,2024-01-31,ios,MX,1616,6,2
S0000083,P00002,2024-02-03,ios,MX,1356,7,0
S0000084,P00002,2024-02-03,ios,MX,2282,1,0
S0000085,P00002,2024-02-04,ios,MX,1538,8,3
S0000086,P00002,2024-02-05,ios,MX,940,3,2
S0000087,P00002,2024-02-05,ios,MX,5400,6,1
S0000088,P00002,2024-02-05,ios,MX,1349,7,2
S0000089,P00002,2024-02-05,ios,MX,477,6,3
S0000090,P00002,2024-02-16,ios,MX,1090,4,0
S0000091,P00002,2024-02-16,ios,MX,845,8,1
S0000092,P00003,2024-02-05,android,DE,2968,5,3
S0000093,P00003,2024-02-05,android,DE,2192,4,1
S0000094,P00003,2024-02-05,android,DE,2296,5,2
S0000095,P00003,2024-02-06,android,DE,1448,5,2
S0000096,P00003,2024-02-06,android,DE,1529,4,3
S0000097,P00003,2024-02-06,android,DE,1447,6,3
S0000098,P00003,2024-02-06,android,DE,1722,6,2
S0000099,P00003,2024-02-06,android,DE,2984,5,0
S0000100,P00003,2024-02-07,android,DE,2211,7,2
S0000101,P00003,2024-02-07,android,DE,2440,3,2
S0000102,P00003,2024-02-08,android,DE,2439,2,1
S0000103,P00003,2024-02-08,android,DE,3073,8,2
S0000104,P00003,2024-02-08,android,DE,2149,8,1
S0000105,P00003,2024-02-08,android,DE,2242,4,2
S0000106,P00003,2024-02-08,android,DE,3689,5,1
S0000107,P00003,2024-02-09,android,DE,1213,4,1
S0000108,P00003,2024-02-09,android,DE,1081,1,0
S0000109,P00003,2024-02-09,android,DE,887,4,0
S0000110,P00003,2024-02-10,android,DE,2017,8,0
S0000111,P00003,2024-02-11,android,DE,594,3,3
S0000112,P00003,2024-02-12,android,DE,2385,8,3
S0000113,P00003,2024-02-12,android,DE,1693,4,2
S0000114,P00003,2024-02-12,android,DE,3571,6,2
S0000115,P00003,2024-02-12,android,DE,1208,1,0
S0000116,P00003,2024-02-14,android,DE,1600,1,0
S0000117,P00003,2024-02-14,android,DE,3545,7,1
S0000118,P00003,2024-02-14,android,DE,4145,1,1
S0000119,P00003,2024-02-16,android,DE,1202,5,0
S0000120,P00003,2024-02-16,android,DE,2016,1,1
S0000121,P00003,2024-02-16,android,DE,2157,2,1
S0000122,P00003,2024-02-17,android,DE,2262,8,1
S0000123,P00003,2024-02-17,android,DE,1544,8,2
S0000124,P00003,2024-02-17,android,DE,3900,4,0
S0000125,P00003,2024-02-17,android,DE,581,6,1
S0000126,P00003,2024-02-17,android,DE,1404,8,2
S0000127,P00003,2024-02-19,android,DE,2365,5,1
S0000128,P00003,2024-02-20,android,DE,2378,7,3
S0000129,P00003,2024-02-20,android,DE,4071,6,0
S0000130,P00003,2024-02-20,android,DE,3710,7,0
S0000131,P00003,2024-02-20,android,DE,1523,3,1
S0000132,P00003,2024-02-23,android,DE,3943,8,2
S0000133,P00003,2024-02-25,android,DE,1178,1,1
S0000134,P00003,2024-02-25,android,DE,3160,6,1
S0000135,P00003,2024-02-25,android,DE,5357,1,0
S0000136,P00003,2024-02-27,android,DE,3747,5,0
S0000137,P00003,2024-02-27,android,DE,1926,5,2
S0000138,P00003,2024-02-29,android,DE,1481,3,3
S0000139,P00004,2024-02-01,android,US,722,6,0
S0000140,P00004,2024-02-01,android,US,2178,2,0
S0000141,P00004,2024-02-02,android,US,925,4,1
S0000142,P00004,2024-02-02,android,US,1123,3,2
S0000143,P00004,2024-02-02,android,US,884,8,0
S0000144,P00004,2024-02-02,android,US,1371,4,3
S0000145,P00004,2024-02-03,android,US,1777,1,1
S0000146,P00004,2024-02-03,android,US,2130,3,3
S0000147,P00004,2024-02-04,android,US,1261,8,2
S0000148,P00004,2024-02-05,android,US,3434,1,0
S0000149,P00004,2024-02-06,android,US,1595,6,0
S0000150,P00004,2024-02-07,android,US,1127,2,1
S0000151,P00004,2024-02-08,android,US,2070,3,3
S0000152,P00004,2024-02-08,android,US,5400,6,3
S0000153,P00004,2024-02-09,android,US,2210,7,3
S0000154,P00004,2024-02-09,android,US,1454,2,2
S0000155,P00004,2024-02-09,android,US,723,3,2
S0000156,P00004,2024-02-09,android,US,1585,2,0
S0000157,P00004,2024-02-11,android,US,2081,4,0
S0000158,P00004,2024-02-14,android,US,1432,7,3
S0000159,P00004,2024-02-14,android,US,665,4,1
S0000160,P00004,2024-02-14,android,US,1085,8,2
S0000161,P00004,2024-02-15,android,US,4327,2,0
S0000162,P00004,2024-02-17,android,US,4274,1,0
S0000163,P00004,2024-02-17,android,US,1062,4,0
S0000164,P00004,2024-02-17,android,US,2707,2,2
S0000165,P00004,2024-02-18,android,US,891,1,0
S0000166,P00004,2024-02-18,android,US,4198,1,1
S0000167,P00004,2024-02-23,android,US,2094,4,2
S0000168,P00004,2024-02-23,android,US,3196,6,1
S0000169,P00004,2024-02-23,android,US,646,5,1
S0000170,P00004,2024-02-23,android,US,2715,4,3
S0000171,P00004,2024-02-23,android,US,1799,5,2
S0000172,P00004,2024-02-24,android,US,3014,3,3
S0000173,P00004,2024-02-24,android,US,3130,8,0
S0000174,P00004,2024-02-24,android,US,1880,6,3
S0000175,P00004,2024-02-24,android,US,1260,6,3
S0000176,P00004,2024-02-27,android,US,2886,4,1
S0000177,P00004,2024-02-27,android,US,1743,5,1
S0000178,P00004,2024-03-04,android,US,1070,4,2
S0000179,P00004,2024-03-08,android,US,1040,4,0
S0000180,P00004,2024-03-08,android,US,745,5,3
S0000181,P00004,2024-03-08,android,US,1331,1,0
S0000182,P00004,2024-03-17,android,US,3503,2,2
S0000183,P00004,2024-03-17,android,US,2011,8,1
S0000184,P00004,2024-03-17,android,US,1315,4,3
S0000185,P00004,2024-03-17,android,US,2930,4,2
S0000186,P00005,2024-01-29,android,US,1097,6,3
S0000187,P00005,2024-01-30,android,US,1914,3,0
S0000188,P00005,2024-01-30,android,US,1623,5,3
S0000189,P00005,2024-01-30,android,US,2885,5,1
S0000190,P00005,2024-01-30,android,US,701,4,2
S0000191,P00005,2024-01-31,android,US,1085,4,3
S0000192,P00005,2024-01-31,android,US,676,6,2
S0000193,P00005,2024-02-01,android,US,1547,8,3
S0000194,P00005,2024-02-01,android,US,3740,3,2
S0000195,P00005,2024-02-02,android,US,1335,8,1
S0000196,P00005,2024-02-02,android,US,1330,1,0
S0000197,P00005,2024-02-02,android,US,3050,2,2
S0000198,P00005,2024-02-03,android,US,3432,3,1
S0000199,P00005,2024-02-04,android,US,1714,4,3
S0000200,P00005,2024-02-05,android,US,2726,8,3
S0000201,P00005,2024-02-05,android,US,947,1,0
S0000202,P00005,2024-02-06,android,US,4133,1,1
S0000203,P00005,2024-02-06,android,US,5400,5,0
S0000204,P00005,2024-02-07,android,US,2471,7,1
S0000205,P00005,2024-02-07,android,US,517,2,0
S0000206,P00005,2024-02-08,android,US,1293,5,2
S0000207,P00005,2024-02-09,android,US,2611,6,3
S0000208,P00005,2024-02-10,android,US,1404,4,2
S0000209,P00005,2024-02-16,android,US,3878,8,0
S0000210,P00005,2024-02-19,android,US,2573,6,0
S0000211,P00005,2024-02-19,android,US,1183,1,0
S0000212,P00005,2024-02-19,android,US,1843,4,3
S0000213,P00005,2024-02-20,android,US,1057,5,0
S0000214,P00005,2024-02-20,android,US,1620,3,2
S0000215,P00005,2024-02-20,android,US,1296,1,0
S0000216,P00005,2024-02-20,android,US,3658,3,3
S0000217,P00005,2024-03-03,android,US,5400,6,0
S0000218,P00005,2024-03-03,android,US,766,2,1
S0000219,P00005,2024-03-03,android,US,570,4,0
S0000220,P00005,2024-03-09,android,US,1560,8,3
S0000221,P00005,2024-03-19,android,US,727,7,1
S0000222,P00006,2024-01-18,android,US,1858,5,0
S0000223,P00006,2024-01-18,android,US,2833,3,0
S0000224,P00007,2024-01-14,android,TR,4431,7,0
S0000225,P00007,2024-01-14,android,TR,2040,1,0
S0000226,P00007,2024-01-15,android,TR,1610,6,3
S0000227,P00007,2024-01-16,android,TR,551,2,2
S0000228,P00007,2024-01-16,android,TR,1836,4,1
S0000229,P00007,2024-01-17,android,TR,1887,5,2
S0000230,P00007,2024-01-18,android,TR,2652,3,3
S0000231,P00007,2024-01-19,android,TR,1181,2,1
S0000232,P00007,2024-01-20,android,TR,1392,8,1
S0000233,P00007,2024-01-21,android,TR,744,1,1
S0000234,P00007,2024-01-22,android,TR,457,6,3
S0000235,P00007,2024-01-22,android,TR,929,6,3
S0000236,P00007,2024-01-26,android,TR,704,4,3
S0000237,P00007,2024-01-27,android,TR,2212,6,2
